Region,Date,Estimated Unemployment Rate,Area,Year
Andhra Pradesh,2019-05-31,3.65,Rural,2019.0
Andhra Pradesh,2019-06-30,3.05,Rural,2019.0
Andhra Pradesh,2019-07-31,3.75,Rural,2019.0
Andhra Pradesh,2019-08-31,3.32,Rural,2019.0
Andhra Pradesh,2019-09-30,5.17,Rural,2019.0
Andhra Pradesh,2019-10-31,3.52,Rural,2019.0
Andhra Pradesh,2019-11-30,4.12,Rural,2019.0
Andhra Pradesh,2019-12-31,4.38,Rural,2019.0
Andhra Pradesh,2020-01-31,4.84,Rural,2020.0
Andhra Pradesh,2020-02-29,5.91,Rural,2020.0
Andhra Pradesh,2020-03-31,4.06,Rural,2020.0
Andhra Pradesh,2020-04-30,16.29,Rural,2020.0
Andhra Pradesh,2020-05-31,14.46,Rural,2020.0
Andhra Pradesh,2020-06-30,0.85,Rural,2020.0
Assam,2019-05-31,4.29,Rural,2019.0
Assam,2019-06-30,5.08,Rural,2019.0
Assam,2019-07-31,4.26,Rural,2019.0
Assam,2019-08-31,5.79,Rural,2019.0
Assam,2019-09-30,4.46,Rural,2019.0
Assam,2019-10-31,4.65,Rural,2019.0
Assam,2019-11-30,4.66,Rural,2019.0
Assam,2020-01-31,4.29,Rural,2020.0
Assam,2020-02-29,3.26,Rural,2020.0
Assam,2020-03-31,3.77,Rural,2020.0
Assam,2020-05-31,9.38,Rural,2020.0
Assam,2020-06-30,0.0,Rural,2020.0
Bihar,2019-05-31,9.27,Rural,2019.0
Bihar,2019-06-30,10.2,Rural,2019.0
Bihar,2019-07-31,13.44,Rural,2019.0
Bihar,2019-08-31,11.0,Rural,2019.0
Bihar,2019-09-30,8.87,Rural,2019.0
Bihar,2019-10-31,12.47,Rural,2019.0
Bihar,2019-11-30,12.4,Rural,2019.0
Bihar,2019-12-31,10.16,Rural,2019.0
Bihar,2020-01-31,9.13,Rural,2020.0
Bihar,2020-02-29,9.61,Rural,2020.0
Bihar,2020-03-31,15.39,Rural,2020.0
Bihar,2020-04-30,45.09,Rural,2020.0
Bihar,2020-05-31,47.26,Rural,2020.0
Bihar,2020-06-30,20.49,Rural,2020.0
Chhattisgarh,2019-05-31,9.82,Rural,2019.0
Chhattisgarh,2019-06-30,6.76,Rural,2019.0
Chhattisgarh,2019-07-31,4.54,Rural,2019.0
Chhattisgarh,2019-08-31,4.64,Rural,2019.0
Chhattisgarh,2019-09-30,8.33,Rural,2019.0
Chhattisgarh,2019-10-31,6.96,Rural,2019.0
Chhattisgarh,2019-11-30,2.77,Rural,2019.0
Chhattisgarh,2019-12-31,6.11,Rural,2019.0
Chhattisgarh,2020-01-31,9.89,Rural,2020.0
Chhattisgarh,2020-02-29,7.89,Rural,2020.0
Chhattisgarh,2020-03-31,7.31,Rural,2020.0
Chhattisgarh,2020-04-30,0.0,Rural,2020.0
Chhattisgarh,2020-05-31,7.64,Rural,2020.0
Chhattisgarh,2020-06-30,10.14,Rural,2020.0
Delhi,2019-05-31,12.56,Rural,2019.0
Delhi,2019-06-30,9.33,Rural,2019.0
Delhi,2019-07-31,11.07,Rural,2019.0
Delhi,2019-08-31,17.18,Rural,2019.0
Delhi,2019-09-30,12.5,Rural,2019.0
Delhi,2019-10-31,15.84,Rural,2019.0
Delhi,2019-11-30,11.11,Rural,2019.0
Delhi,2019-12-31,16.97,Rural,2019.0
Delhi,2020-01-31,13.48,Rural,2020.0
Delhi,2020-02-29,13.81,Rural,2020.0
Delhi,2020-03-31,15.18,Rural,2020.0
Delhi,2020-04-30,20.69,Rural,2020.0
Delhi,2020-05-31,22.76,Rural,2020.0
Delhi,2020-06-30,21.14,Rural,2020.0
Goa,2019-05-31,2.91,Rural,2019.0
Goa,2019-06-30,5.45,Rural,2019.0
Goa,2019-07-31,10.98,Rural,2019.0
Goa,2019-08-31,1.98,Rural,2019.0
Goa,2019-09-30,3.61,Rural,2019.0
Goa,2019-10-31,7.21,Rural,2019.0
Goa,2019-11-30,23.71,Rural,2019.0
Goa,2019-12-31,3.54,Rural,2019.0
Goa,2020-01-31,5.38,Rural,2020.0
Goa,2020-02-29,0.0,Rural,2020.0
Goa,2020-04-30,15.91,Rural,2020.0
Goa,2020-05-31,20.0,Rural,2020.0
Gujarat,2019-05-31,2.88,Rural,2019.0
Gujarat,2019-06-30,4.77,Rural,2019.0
Gujarat,2019-07-31,4.58,Rural,2019.0
Gujarat,2019-08-31,3.7,Rural,2019.0
Gujarat,2019-09-30,6.29,Rural,2019.0
Gujarat,2019-10-31,4.91,Rural,2019.0
Gujarat,2019-11-30,4.68,Rural,2019.0
Gujarat,2019-12-31,3.46,Rural,2019.0
Gujarat,2020-01-31,5.35,Rural,2020.0
Gujarat,2020-02-29,6.64,Rural,2020.0
Gujarat,2020-03-31,7.59,Rural,2020.0
Gujarat,2020-04-30,12.0,Rural,2020.0
Gujarat,2020-05-31,14.58,Rural,2020.0
Gujarat,2020-06-30,1.41,Rural,2020.0
Haryana,2019-05-31,14.54,Rural,2019.0
Haryana,2019-06-30,23.08,Rural,2019.0
Haryana,2019-07-31,16.22,Rural,2019.0
Haryana,2019-08-31,30.94,Rural,2019.0
Haryana,2019-09-30,16.36,Rural,2019.0
Haryana,2019-10-31,24.17,Rural,2019.0
